paper_id,instA_coords,instB_coords,instA_id,instB_id
0094b25e2500306fadbdfb41d520f2970bb086d3,"[114.1693611, 22.319303899999998]","[114.1370848, 22.282998899999996]",9085,112
00ab6bdcb3cdedc8cdbb297379a289a169bb5839,"[113.932813, 22.53306]","[114.13784369999999, 22.2840174]",6443,10209
00acd3fd31ed0cde8df286697caefc5298e54df1,"[-83.19172119999998, 42.51471129999999]","[-77.85990840000001, 40.7982133]",10622,3033
00acd3fd31ed0cde8df286697caefc5298e54df1,"[-83.19172119999998, 42.51471129999999]","[-122.4401581, 37.7854795]",10622,336
00acd3fd31ed0cde8df286697caefc5298e54df1,"[-77.85990840000001, 40.7982133]","[-122.4401581, 37.7854795]",3033,336
00d16927588fb04d4be0e6b269fc02f0d3c2aa7b,"[-83.37732209999999, 33.9480053]","[-80.42341669999998, 37.22838429999999]",781,2650
00e7af2188897d57226ae59ebf7874882ff928a3,"[121.5960386, 25.070892699999998]","[103.7763939, 1.2966426000000002]",5395,474
00ef21603a690ae62a62c48bac9c847059c0455f,"[-58.66741629999999, -34.606998100000006]","[-64.264167, -27.783357399999996]",1418,8624
00f1d7ae7a82e7db4b56c30d5e174439746c2d75,"[2.6459085, 39.607512899999996]","[2.8274211, 41.9858205]",5477,961
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[120.68036709999998, 24.1560757]","[124.78365900000001, 40.731316]",8802,15
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[120.68036709999998, 24.1560757]","[121.31464, 38.807693]",8802,6304
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[120.68036709999998, 24.1560757]","[122.5290376, 41.94365429999999]",8802,236
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[120.68036709999998, 24.1560757]","[120.4703258, 22.4628783]",8802,1482
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[120.68036709999998, 24.1560757]","[123.4528894, 41.77616079999999]",8802,3063
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[124.78365900000001, 40.731316]","[121.31464, 38.807693]",15,6304
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[124.78365900000001, 40.731316]","[122.5290376, 41.94365429999999]",15,236
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[124.78365900000001, 40.731316]","[120.4703258, 22.4628783]",15,1482
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[124.78365900000001, 40.731316]","[123.4528894, 41.77616079999999]",15,3063
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[121.31464, 38.807693]","[122.5290376, 41.94365429999999]",6304,236
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[121.31464, 38.807693]","[120.4703258, 22.4628783]",6304,1482
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[121.31464, 38.807693]","[123.4528894, 41.77616079999999]",6304,3063
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[122.5290376, 41.94365429999999]","[120.4703258, 22.4628783]",236,1482
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[122.5290376, 41.94365429999999]","[123.4528894, 41.77616079999999]",236,3063
